genome	kingdom	phylum	class	order	family	genus	species
100053.SAMN02947772	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	specI_v3_00001
1000565.SAMN02471991	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	2008793 Sterolibacteriaceae	378210 Methyloversatilis	specI_v3_00371
1001240.SAMN02863076	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	69578 Cryobacterium	specI_v3_06490
1001585.SAMN02603190	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_00237
1001994.SAMN02470178	2157 Archaea	651137 Thaumarchaeota	NA Thaumarchaeota class incertae sedis	31932 Nitrosopumilales	338190 Nitrosopumilaceae	1007082 Nitrosoarchaeum	specI_v3_06491
100225.SAMN05421595	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85018 Dermatophilaceae	1184606 Austwickia	specI_v3_00591
100226.SAMEA1705940	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	specI_v3_00611
1002339.SAMN00259686	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	497 Psychrobacter	specI_v3_06492
1002340.SAMN02471702	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	191028 Leisingera	specI_v3_00702
1002368.SAMN02299454	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	158876 Yokenella	specI_v3_00081
1002526.SAMN05216578	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	specI_v3_06493
1002672.SAMN02603337	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	54526 Pelagibacterales	1655514 Pelagibacteraceae	198251 Candidatus Pelagibacter	specI_v3_06494
1002804.SAMEA2272649	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	specI_v3_00722
1002805.SAMEA2272226	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	specI_v3_00723
1002809.SAMD00060988	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	648800 Solibacillus	specI_v3_00724
1003.SAMN04488541	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	NA Cytophagales fam. incertae sedis	1938003 Thermoflexibacter	specI_v3_06495
1003195.SAMN02603879	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	specI_v3_00754
1003202.SAMN02603530	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	766 Rickettsiales	775 Rickettsiaceae	780 Rickettsia	specI_v3_00755
1003238.SAMN02470555	2 Bacteria	204428 Chlamydiae	204429 Chlamydiia	51291 Chlamydiales	809 Chlamydiaceae	810 Chlamydia	specI_v3_00757
1004.SAMN05661012	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	79328 Chitinophaga	specI_v3_06496
1004149.SAMN02470158	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	444051 Mesoflavibacter	specI_v3_00759
1004156.SAMN04504644	2 Bacteria	203682 Planctomycetes	2517206 Candidatus Brocadiae	1127829 Candidatus Brocadiales	1127830 Candidatus Brocadiaceae	380240 Candidatus Brocadia	specI_v3_06497
1004316.SAMN04029016	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135623 Vibrionales	641 Vibrionaceae	662 Vibrio	specI_v3_06498
1004326.SAMN03339753	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135623 Vibrionales	641 Vibrionaceae	662 Vibrio	specI_v3_06499
1004836.SAMN02471213	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204441 Rhodospirillales	433 Acetobacteraceae	89583 Gluconacetobacter	specI_v3_00794
1005048.SAMN02603677	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	202907 Collimonas	specI_v3_00413
1005057.SAMN02604330	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903409 Erwiniaceae	32199 Buchnera	specI_v3_06500
